Common name 	Scientific name 	Status 	No. 	No. Back
Yellow-billed Stork 	Mycteria ibis 		2 	0
Black Stork 	Ciconia nigra 		23 	0
White Stork 	Ciconia ciconia 		84 	22
Northern Bald Ibis 	Geronticus eremita 		46 	9
Glossy Ibis 	Plegadis falcinellus 		67 	29
Eurasian Spoonbill 	Platalea leucorodia 		18 	33
Eurasian Bittern 	Botaurus stellaris 		395 	233
American Bittern 	Botaurus lentiginosus 		76 	45
Little Bittern 	Ixobrychus minutus 		253 	33
Black-crowned Night Heron 	Nycticorax nycticorax 		431 	90
Green Heron 	Butorides virescens 		89 	40
Squacco Heron 	Ardeola ralloides 		51 	13
Western Cattle Egret 	Bubulcus ibis 		174 	93
Grey Heron 	Ardea cinerea 		594 	395
Purple Heron 	Ardea purpurea 		106 	37
Great Egret 	Ardea alba 		240 	69
Little Blue Heron 	Egretta caerulea 		48 	5
Snowy Egret 	Egretta thula 		68 	20
Little Egret 	Egretta garzetta 		247 	91
Western Reef Heron 	Egretta gularis 		16 	10
Great White Pelican 	Pelecanus onocrotalus 		12 	3
Pink-backed Pelican 	Pelecanus rufescens 		0 	0
Dalmatian Pelican 	Pelecanus crispus 		2 	0
Ascension Frigatebird 	Fregata aquila 		1 	0
Magnificent Frigatebird 	Fregata magnificens 		11 	1
Northern Gannet 	Morus bassanus 		68 	63
Pygmy Cormorant 	Microcarbo pygmaeus 		6 	1
Double-crested Cormorant 	Phalacrocorax auritus 		39 	21
European Shag 	Phalacrocorax aristotelis 		12 	5
Great Cormorant 	Phalacrocorax carbo 		111 	121
Black Vulture 	Coragyps atratus 		55 	6
Western Osprey 	Pandion haliaetus 		215 	58
Black-winged Kite 	Elanus caeruleus 		242 	18
Bearded Vulture 	Gypaetus barbatus 		3 	0
Egyptian Vulture 	Neophron percnopterus 		2 	0
European Honey Buzzard 	Pernis apivorus 		67 	2
White-backed Vulture 	Gyps africanus 		4 	0
Griffon Vulture 	Gyps fulvus 		55 	115
Cinereous Vulture 	Aegypius monachus 		4 	0
Short-toed Snake Eagle 	Circaetus gallicus 		46 	22
Lesser Spotted Eagle 	Clanga pomarina 		49 	5
Greater Spotted Eagle 	Clanga clanga 		29 	1
Booted Eagle 	Hieraaetus pennatus 		40 	28
Tawny Eagle 	Aquila rapax 		1 	0
Steppe Eagle 	Aquila nipalensis 		8 	7
Spanish Imperial Eagle 	Aquila adalberti 		27 	149
Eastern Imperial Eagle 	Aquila heliaca 		5 	0
Golden Eagle 	Aquila chrysaetos 		57 	1
Bonelli's Eagle 	Aquila fasciata 		10 	0
Shikra 	Accipiter badius 		84 	7
Levant Sparrowhawk 	Accipiter brevipes 		3 	0
Eurasian Sparrowhawk 	Accipiter nisus 		105 	21
Northern Goshawk 	Accipiter gentilis 		337 	49
Western Marsh Harrier 	Circus aeruginosus 		169 	45
Hen Harrier 	Circus cyaneus 		14 	3
Northern Harrier 	Circus hudsonius 		37 	6
Pallid Harrier 	Circus macrourus 		21 	1
Montagu's Harrier 	Circus pygargus 		100 	4
Red Kite 	Milvus milvus 		73 	6
Black Kite 	Milvus migrans 		197 	150
Pallas's Fish Eagle 	Haliaeetus leucoryphus 		6 	1
White-tailed Eagle 	Haliaeetus albicilla 		82 	21
Bald Eagle 	Haliaeetus leucocephalus 		78 	19
Rough-legged Buzzard 	Buteo lagopus 		19 	3
Long-legged Buzzard 	Buteo rufinus 		18 	1
Common Buzzard 	Buteo buteo 		512 	443
Great Bustard 	Otis tarda 		1 	0
Macqueen's Bustard 	Chlamydotis macqueenii 		0 	0
Little Bustard 	Tetrax tetrax 		39 	5
Water Rail 	Rallus aquaticus 		961 	265
Corn Crake 	Crex crex 		463 	167
Little Crake 	Porzana parva 		159 	21
Baillon's Crake 	Porzana pusilla 		113 	7
Spotted Crake 	Porzana porzana 		322 	97
Sora 	Porzana carolina 		158 	157
Western Swamphen 	Porphyrio porphyrio 		96 	420
Allen's Gallinule 	Porphyrio alleni 		10 	1
Purple Gallinule 	Porphyrio martinica 		124 	24
Common Moorhen 	Gallinula chloropus 		1010 	690
Red-knobbed Coot 	Fulica cristata 		34 	73
Eurasian Coot 	Fulica atra 		933 	1170
American Coot 	Fulica americana 		176 	271
Siberian Crane 	Leucogeranus leucogeranus 		23 	0
Sandhill Crane 	Antigone canadensis 		177 	122
Demoiselle Crane 	Grus virgo 		44 	4
Common Crane 	Grus grus 		467 	527
Common Buttonquail 	Turnix sylvaticus 		140 	9
Eurasian Stone-curlew 	Burhinus oedicnemus 		307 	101
Eurasian Oystercatcher 	Haematopus ostralegus 		534 	658
Crab-plover 	Dromas ardeola 		30 	7
Black-winged Stilt 	Himantopus himantopus 		403 	505
Pied Avocet 	Recurvirostra avosetta 		299 	367
Northern Lapwing 	Vanellus vanellus 		520 	627
Spur-winged Lapwing 	Vanellus spinosus 		71 	52
Red-wattled Lapwing 	Vanellus indicus 		134 	60
Sociable Lapwing 	Vanellus gregarius 		6 	1
White-tailed Lapwing 	Vanellus leucurus 		33 	7
European Golden Plover 	Pluvialis apricaria 		305 	85
Pacific Golden Plover 	Pluvialis fulva 		58 	8
American Golden Plover 	Pluvialis dominica 		73 	3
Grey Plover 	Pluvialis squatarola 		222 	86
Common Ringed Plover 	Charadrius hiaticula 		317 	172
Semipalmated Plover 	Charadrius semipalmatus 		109 	23
Little Ringed Plover 	Charadrius dubius 		475 	84
Killdeer 	Charadrius vociferus 		197 	320
Kentish Plover 	Charadrius alexandrinus 		152 	47
Lesser Sand Plover 	Charadrius mongolus 		34 	5
Greater Sand Plover 	Charadrius leschenaultii 		18 	0
Caspian Plover 	Charadrius asiaticus 		1 	0
Eurasian Dotterel 	Charadrius morinellus 		110 	2
Upland Sandpiper 	Bartramia longicauda 		70 	6
Whimbrel 	Numenius phaeopus 		473 	96
Little Curlew 	Numenius minutus 		5 	1
Eskimo Curlew 	Numenius borealis 		0 	0
Slender-billed Curlew 	Numenius tenuirostris 		2 	0
Eurasian Curlew 	Numenius arquata 		606 	613
Bar-tailed Godwit 	Limosa lapponica 		80 	11
Black-tailed Godwit 	Limosa limosa 		263 	126
Hudsonian Godwit 	Limosa haemastica 		13 	1
Ruddy Turnstone 	Arenaria interpres 		178 	55
Great Knot 	Calidris tenuirostris 		6 	3
Red Knot 	Calidris canutus 		63 	14
Ruff 	Calidris pugnax 		32 	9
Broad-billed Sandpiper 	Calidris falcinellus 		46 	2
Sharp-tailed Sandpiper 	Calidris acuminata 		10 	1
Stilt Sandpiper 	Calidris himantopus 		43 	9
Curlew Sandpiper 	Calidris ferruginea 		53 	20
Temminck's Stint 	Calidris temminckii 		102 	17
Long-toed Stint 	Calidris subminuta 		17 	0
Red-necked Stint 	Calidris ruficollis 		20 	2
Sanderling 	Calidris alba 		113 	38
Dunlin 	Calidris alpina 		343 	218
Purple Sandpiper 	Calidris maritima 		47 	11
Baird's Sandpiper 	Calidris bairdii 		73 	7
Little Stint 	Calidris minuta 		67 	18
Least Sandpiper 	Calidris minutilla 		111 	41
White-rumped Sandpiper 	Calidris fuscicollis 		52 	10
Buff-breasted Sandpiper 	Calidris subruficollis 		7 	0
Pectoral Sandpiper 	Calidris melanotos 		98 	29
Semipalmated Sandpiper 	Calidris pusilla 		103 	36
Western Sandpiper 	Calidris mauri 		44 	5
Long-billed Dowitcher 	Limnodromus scolopaceus 		90 	40
Short-billed Dowitcher 	Limnodromus griseus 		33 	3
Eurasian Woodcock 	Scolopax rusticola 		302 	62
Jack Snipe 	Lymnocryptes minimus 		54 	1
Great Snipe 	Gallinago media 		91 	10
Common Snipe 	Gallinago gallinago 		542 	566
Terek Sandpiper 	Xenus cinereus 		76 	14
Wilson's Phalarope 	Phalaropus tricolor 		25 	22
Red-necked Phalarope 	Phalaropus lobatus 		109 	22
Red Phalarope 	Phalaropus fulicarius 		51 	19
Common Sandpiper 	Actitis hypoleucos 		631 	150
Spotted Sandpiper 	Actitis macularius 		112 	26
Green Sandpiper 	Tringa ochropus 		393 	161
Solitary Sandpiper 	Tringa solitaria 		119 	16
Grey-tailed Tattler 	Tringa brevipes 		29 	1
Lesser Yellowlegs 	Tringa flavipes 		192 	49
Common Redshank 	Tringa totanus 		640 	851
Marsh Sandpiper 	Tringa stagnatilis 		81 	11
Wood Sandpiper 	Tringa glareola 		389 	190
Spotted Redshank 	Tringa erythropus 		144 	33
Common Greenshank 	Tringa nebularia 		378 	151
Greater Yellowlegs 	Tringa melanoleuca 		161 	57
Cream-colored Courser 	Cursorius cursor 		8 	0
Collared Pratincole 	Glareola pratincola 		83 	43
Oriental Pratincole 	Glareola maldivarum 		23 	4
Black-winged Pratincole 	Glareola nordmanni 		19 	0
Black-legged Kittiwake 	Rissa tridactyla 		146 	103
Ivory Gull 	Pagophila eburnea 		2 	0
Sabine's Gull 	Xema sabini 		13 	0
Slender-billed Gull 	Chroicocephalus genei 		141 	82
Bonaparte's Gull 	Chroicocephalus philadelphia 		60 	4
Black-headed Gull 	Chroicocephalus ridibundus 		691 	1424
Little Gull 	Hydrocoloeus minutus 		38 	29
Ross's Gull 	Rhodostethia rosea 		15 	1
Laughing Gull 	Leucophaeus atricilla 		83 	92
Franklin's Gull 	Leucophaeus pipixcan 		57 	49
Audouin's Gull 	Ichthyaetus audouinii 		31 	2
Mediterranean Gull 	Ichthyaetus melanocephalus 		116 	20
Pallas's Gull 	Ichthyaetus ichthyaetus 		14 	5
Mew Gull 	Larus canus 		311 	418
Ring-billed Gull 	Larus delawarensis 		91 	98
Great Black-backed Gull 	Larus marinus 		116 	52
Glaucous-winged Gull 	Larus glaucescens 		48 	26
Glaucous Gull 	Larus hyperboreus 		52 	33
Iceland Gull 	Larus glaucoides 		12 	0
European Herring Gull 	Larus argentatus 		253 	1080
American Herring Gull 	Larus smithsonianus 		49 	37
Caspian Gull 	Larus cachinnans 		82 	34
Yellow-legged Gull 	Larus michahellis 		262 	267
Armenian Gull 	Larus armenicus 		5 	2
Lesser Black-backed Gull 	Larus fuscus 		143 	262
Gull-billed Tern 	Gelochelidon nilotica 		146 	54
Caspian Tern 	Hydroprogne caspia 		162 	56
Royal Tern 	Thalasseus maximus 		93 	48
Lesser Crested Tern 	Thalasseus bengalensis 		12 	2
Sandwich Tern 	Thalasseus sandvicensis 		160 	82
Elegant Tern 	Thalasseus elegans 		95 	29
Little Tern 	Sternula albifrons 		225 	59
Bridled Tern 	Onychoprion anaethetus 		16 	0
Sooty Tern 	Onychoprion fuscatus 		17 	13
Roseate Tern 	Sterna dougallii 		79 	21
Common Tern 	Sterna hirundo 		355 	221
Arctic Tern 	Sterna paradisaea 		159 	88
Forster's Tern 	Sterna forsteri 		82 	41
Whiskered Tern 	Chlidonias hybrida 		144 	119
White-winged Tern 	Chlidonias leucopterus 		79 	45
Black Tern 	Chlidonias niger 		159 	100
South Polar Skua 	Stercorarius maccormicki 		11 	0
Brown Skua 	Stercorarius antarcticus 		15 	1
Great Skua 	Stercorarius skua 		48 	1
Pomarine Jaeger 	Stercorarius pomarinus 		7 	2
Parasitic Jaeger 	Stercorarius parasiticus 		68 	4
Long-tailed Jaeger 	Stercorarius longicaudus 		50 	5
Little Auk 	Alle alle 		9 	1
Thick-billed Murre 	Uria lomvia 		26 	5
Common Murre 	Uria aalge 		98 	114
Razorbill 	Alca torda 		64 	35
Black Guillemot 	Cepphus grylle 		29 	7
Long-billed Murrelet 	Brachyramphus perdix 		0 	0
Ancient Murrelet 	Synthliboramphus antiquus 		10 	0
Atlantic Puffin 	Fratercula arctica 		42 	0
Pallas's Sandgrouse 	Syrrhaptes paradoxus 		27 	2
Pin-tailed Sandgrouse 	Pterocles alchata 		33 	38
Spotted Sandgrouse 	Pterocles senegallus 		27 	5
Black-bellied Sandgrouse 	Pterocles orientalis 		27 	8
Rock Dove 	Columba livia 		143 	117
Stock Dove 	Columba oenas 		162 	224
Common Wood Pigeon 	Columba palumbus 		419 	5845
European Turtle Dove 	Streptopelia turtur 		236 	174
Oriental Turtle Dove 	Streptopelia orientalis 		78 	132
Eurasian Collared Dove 	Streptopelia decaocto 		571 	3283
African Collared Dove 	Streptopelia roseogrisea 		21 	16
Laughing Dove 	Spilopelia senegalensis 		125 	265
Namaqua Dove 	Oena capensis 		28 	5
Mourning Dove 	Zenaida macroura 		139 	1627
Great Spotted Cuckoo 	Clamator glandarius 		148 	11
Yellow-billed Cuckoo 	Coccyzus americanus 		209 	152
Black-billed Cuckoo 	Coccyzus erythropthalmus 		59 	7
Himalayan Cuckoo 	Cuculus saturatus 		42 	17
Common Cuckoo 	Cuculus canorus 		1038 	1937
Western Barn Owl 	Tyto alba 		378 	57
Pallid Scops Owl 	Otus brucei 		12 	2
Eurasian Scops Owl 	Otus scops 		357 	49
Snowy Owl 	Bubo scandiacus 		21 	0
Eurasian Eagle-Owl 	Bubo bubo 		339 	49
Brown Fish Owl 	Ketupa zeylonensis 		13 	3
Tawny Owl 	Strix aluco 		1376 	471
Ural Owl 	Strix uralensis 		183 	11
Great Grey Owl 	Strix nebulosa 		53 	3
Northern Hawk-Owl 	Surnia ulula 		50 	1
Eurasian Pygmy Owl 	Glaucidium passerinum 		347 	33
Little Owl 	Athene noctua 		759 	161
Boreal Owl 	Aegolius funereus 		308 	29
Long-eared Owl 	Asio otus 		629 	34
Short-eared Owl 	Asio flammeus 		104 	2
Common Nighthawk 	Chordeiles minor 		113 	90
Red-necked Nightjar 	Caprimulgus ruficollis 		74 	25
European Nightjar 	Caprimulgus europaeus 		644 	52
Egyptian Nightjar 	Caprimulgus aegyptius 		8 	0
White-throated Needletail 	Hirundapus caudacutus 		8 	0
Chimney Swift 	Chaetura pelagica 		41 	58
Alpine Swift 	Tachymarptis melba 		85 	9
Common Swift 	Apus apus 		376 	217
Pallid Swift 	Apus pallidus 		159 	47
Little Swift 	Apus affinis 		86 	39
White-rumped Swift 	Apus caffer 		59 	1
Indian Roller 	Coracias benghalensis 		39 	2
European Roller 	Coracias garrulus 		73 	11
White-throated Kingfisher 	Halcyon smyrnensis 		164 	51
Common Kingfisher 	Alcedo atthis 		470 	361
Belted Kingfisher 	Megaceryle alcyon 		91 	54
Pied Kingfisher 	Ceryle rudis 		110 	18
Blue-cheeked Bee-eater 	Merops persicus 		75 	31
European Bee-eater 	Merops apiaster 		351 	643
Eurasian Hoopoe 	Upupa epops 		376 	402
Eurasian Wryneck 	Jynx torquilla 		351 	224
Yellow-bellied Sapsucker 	Sphyrapicus varius 		83 	55
Eurasian Three-toed Woodpecker 	Picoides tridactylus 		228 	36
Middle Spotted Woodpecker 	Dendrocoptes medius 		342 	90
Lesser Spotted Woodpecker 	Dryobates minor 		498 	332
Syrian Woodpecker 	Dendrocopos syriacus 		83 	18
Great Spotted Woodpecker 	Dendrocopos major 		1487 	2335
White-backed Woodpecker 	Dendrocopos leucotos 		278 	39
Black Woodpecker 	Dryocopus martius 		875 	306
European Green Woodpecker 	Picus viridis 		545 	497
Grey-headed Woodpecker 	Picus canus 		393 	89
Lesser Kestrel 	Falco naumanni 		104 	46
Common Kestrel 	Falco tinnunculus 		269 	116
American Kestrel 	Falco sparverius 		100 	20
Red-footed Falcon 	Falco vespertinus 		28 	6
Amur Falcon 	Falco amurensis 		26 	2
Eleonora's Falcon 	Falco eleonorae 		12 	0
Sooty Falcon 	Falco concolor 		3 	0
Merlin 	Falco columbarius 		67 	6
Eurasian Hobby 	Falco subbuteo 		122 	16
Lanner Falcon 	Falco biarmicus 		6 	1
Saker Falcon 	Falco cherrug 		8 	0
Gyrfalcon 	Falco rusticolus 		9 	0
Peregrine Falcon 	Falco peregrinus 		191 	14
Barbary Falcon 	Falco pelegrinoides 		3 	0
Monk Parakeet 	Myiopsitta monachus 		163 	85
Alexandrine Parakeet 	Psittacula eupatria 		53 	9
Rose-ringed Parakeet 	Psittacula krameri 		302 	255
Eastern Phoebe 	Sayornis phoebe 		124 	101
Alder Flycatcher 	Empidonax alnorum 		256 	174
Brown Shrike 	Lanius cristatus 		127 	10
Red-backed Shrike 	Lanius collurio 		346 	75
Isabelline Shrike 	Lanius isabellinus 		28 	9
Red-tailed Shrike 	Lanius phoenicuroides 		24 	0
Long-tailed Shrike 	Lanius schach 		92 	15
Lesser Grey Shrike 	Lanius minor 		40 	1
Great Grey Shrike 	Lanius excubitor 		239 	14
Iberian Grey Shrike 	Lanius meridionalis 		65 	30
Woodchat Shrike 	Lanius senator 		130 	79
Masked Shrike 	Lanius nubicus 		27 	1
Yellow-throated Vireo 	Vireo flavifrons 		135 	78
Philadelphia Vireo 	Vireo philadelphicus 		53 	3
Red-eyed Vireo 	Vireo olivaceus 		237 	1008
Eurasian Golden Oriole 	Oriolus oriolus 		756 	804
Siberian Jay 	Perisoreus infaustus 		125 	2
Eurasian Jay 	Garrulus glandarius 		1167 	1143
Iberian Magpie 	Cyanopica cooki 		181 	899
Eurasian Magpie 	Pica pica 		662 	1114
Spotted Nutcracker 	Nucifraga caryocatactes 		225 	59
Red-billed Chough 	Pyrrhocorax pyrrhocorax 		184 	190
Alpine Chough 	Pyrrhocorax graculus 		90 	13
Western Jackdaw 	Coloeus monedula 		477 	1335
House Crow 	Corvus splendens 		127 	280
Rook 	Corvus frugilegus 		433 	1060
Carrion Crow 	Corvus corone 		1026 	6564
Hooded Crow 	Corvus cornix 		474 	879
Brown-necked Raven 	Corvus ruficollis 		25 	9
Northern Raven 	Corvus corax 		1286 	1167
Fan-tailed Raven 	Corvus rhipidurus 		29 	12
Bohemian Waxwing 	Bombycilla garrulus 		226 	36
Coal Tit 	Periparus ater 		1562 	1678
European Crested Tit 	Lophophanes cristatus 		569 	1023
Sombre Tit 	Poecile lugubris 		34 	2
Marsh Tit 	Poecile palustris 		844 	462
Willow Tit 	Poecile montanus 		818 	496
Eurasian Blue Tit 	Cyanistes caeruleus 		2835 	5485
Azure Tit 	Cyanistes cyanus 		80 	2
Great Tit 	Parus major 		5269 	7496
Eurasian Penduline Tit 	Remiz pendulinus 		198 	75
Bearded Reedling 	Panurus biarmicus 		174 	52
Desert Lark 	Ammomanes deserti 		35 	3
Bar-tailed Lark 	Ammomanes cinctura 		21 	2
Woodlark 	Lullula arborea 		565 	604
White-winged Lark 	Alauda leucoptera 		20 	2
Eurasian Skylark 	Alauda arvensis 		1356 	4609
Thekla's Lark 	Galerida theklae 		185 	182
Crested Lark 	Galerida cristata 		327 	819
Horned Lark 	Eremophila alpestris 		297 	194
Greater Short-toed Lark 	Calandrella brachydactyla 		136 	109
Bimaculated Lark 	Melanocorypha bimaculata 		18 	6
Calandra Lark 	Melanocorypha calandra 		148 	280
Black Lark 	Melanocorypha yeltoniensis 		11 	2
Lesser Short-toed Lark 	Alaudala rufescens 		98 	152
White-spectacled Bulbul 	Pycnonotus xanthopygos 		49 	59
Sand Martin 	Riparia riparia 		195 	84
Barn Swallow 	Hirundo rustica 		1112 	920
Eurasian Crag Martin 	Ptyonoprogne rupestris 		87 	45
Rock Martin 	Ptyonoprogne fuligula 		20 	0
Common House Martin 	Delichon urbicum 		387 	457
Red-rumped Swallow 	Cecropis daurica 		222 	126
American Cliff Swallow 	Petrochelidon pyrrhonota 		93 	56
Cetti's Warbler 	Cettia cetti 		907 	1278
Long-tailed Tit 	Aegithalos caudatus 		1039 	1618
Wood Warbler 	Phylloscopus sibilatrix 		679 	315
Western Bonelli's Warbler 	Phylloscopus bonelli 		403 	274
Eastern Bonelli's Warbler 	Phylloscopus orientalis 		41 	9
Hume's Leaf Warbler 	Phylloscopus humei 		319 	111
Yellow-browed Warbler 	Phylloscopus inornatus 		436 	112
Pallas's Leaf Warbler 	Phylloscopus proregulus 		162 	76
Radde's Warbler 	Phylloscopus schwarzi 		86 	15
Dusky Warbler 	Phylloscopus fuscatus 		431 	62
Willow Warbler 	Phylloscopus trochilus 		2953 	2905
Mountain Chiffchaff 	Phylloscopus sindianus 		40 	6
Common Chiffchaff 	Phylloscopus collybita 		3609 	4871
Iberian Chiffchaff 	Phylloscopus ibericus 		384 	89
Eastern Crowned Warbler 	Phylloscopus coronatus 		184 	538
Greenish Warbler 	Phylloscopus trochiloides 		457 	72
Arctic Warbler 	Phylloscopus borealis 		279 	80
Great Reed Warbler 	Acrocephalus arundinaceus 		655 	458
Moustached Warbler 	Acrocephalus melanopogon 		129 	15
Aquatic Warbler 	Acrocephalus paludicola 		91 	17
Sedge Warbler 	Acrocephalus schoenobaenus 		761 	677
Paddyfield Warbler 	Acrocephalus agricola 		69 	6
Blyth's Reed Warbler 	Acrocephalus dumetorum 		648 	71
Eurasian Reed Warbler 	Acrocephalus scirpaceus 		925 	713
Marsh Warbler 	Acrocephalus palustris 		1059 	255
Booted Warbler 	Iduna caligata 		67 	7
Sykes's Warbler 	Iduna rama 		63 	10
Eastern Olivaceous Warbler 	Iduna pallida 		149 	17
Western Olivaceous Warbler 	Iduna opaca 		96 	59
Upcher's Warbler 	Hippolais languida 		24 	1
Olive-tree Warbler 	Hippolais olivetorum 		24 	2
Melodious Warbler 	Hippolais polyglotta 		484 	243
Icterine Warbler 	Hippolais icterina 		751 	159
Pallas's Grasshopper Warbler 	Helopsaltes certhiola 		85 	26
Lanceolated Warbler 	Locustella lanceolata 		75 	35
Common Grasshopper Warbler 	Locustella naevia 		605 	224
River Warbler 	Locustella fluviatilis 		344 	49
Savi's Warbler 	Locustella luscinioides 		379 	261
Zitting Cisticola 	Cisticola juncidis 		515 	716
Graceful Prinia 	Prinia gracilis 		61 	57
